OBJECTID,ZONING,created_user,created_date,last_edited_user,last_edited_date,STR_TYPE_1,STR_TYPE_2,STR_TYPE_3,Muni_Hyperlink,Muni_Hyperlink_Uses,Shape__Area,Shape__Length
8004,REMU,BOZEMAN,2023/01/13 00:12:23+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI
",352509.204299055,3986.80408814751
8007,M-1,BOZEMAN,2023/01/13 18:03:59+00,BOZEMAN,2023/01/13 18:03:59+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,2379.149555555,238.671299404297
8008,B-2M,BOZEMAN,2023/01/13 18:03:59+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,14110.806702755,471.960305014084
8010,R-4,BOZEMAN,2023/01/13 18:22:17+00,BOZEMAN,2023/01/13 18:22:17+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,44379.6046232,1090.85762284384
8012,R-4,BOZEMAN,2023/03/03 16:32:32+00,BOZEMAN,2024/12/31 21:39:28+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,10971.48413233,522.25063353376
8015,R-4,BOZEMAN,2023/03/23 14:45:22+00,BOZEMAN,2024/12/18 23:25:38+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI
",35852.195141315,869.568288432332
8017,REMU,BOZEMAN,2023/05/10 16:56:29+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI
",122078.935696135,1413.08859037247
8019,B-2M,BOZEMAN,2023/05/11 00:45:18+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,6134.398506055,315.545663830861
8021,R-2,BOZEMAN,2023/08/04 17:54:45+00,BOZEMAN,2024/12/18 23:19:14+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,2211.312168445,241.975578632651
8024,R-2,BOZEMAN,2023/11/10 00:46:33+00,BOZEMAN,2024/12/18 23:19:14+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,3157.737152395,264.578641847261
8826,R-5,BOZEMAN,2024/05/22 22:33:42+00,BOZEMAN,2024/05/22 22:33:42+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,20483.132117135,572.957999558348
9227,R-3,BOZEMAN,2024/06/20 20:39:30+00,BOZEMAN,2024/12/18 23:20:24+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,4028.15009325,260.86571315873
9228,B-2M,BOZEMAN,2024/06/20 21:10:46+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,35049.15254002,921.446436291295
9229,REMU,BOZEMAN,2024/06/20 21:10:46+00,BOZEMAN,2024/12/18 23:39:48+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,41598.249438585,815.980848180874
9231,REMU,BOZEMAN,2024/06/20 21:44:39+00,BOZEMAN,2024/12/18 23:39:48+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,328330.21079944,2426.22760256636
9232,R-3,BOZEMAN,2024/06/20 21:48:09+00,BOZEMAN,2024/12/18 23:20:24+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,9414.251774125,405.482955575963
9237,B-2M,BOZEMAN,2024/06/21 19:34:27+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,36483.763495715,764.663155004029
9245,PLI,BOZEMAN,2024/06/21 20:00:25+00,BOZEMAN,2024/12/18 23:13:01+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.130PULAINDINT,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,35266.469829695,751.285631459182
9249,R-5,BOZEMAN,2024/08/21 18:54:53+00,BOZEMAN,2024/12/19 00:09:08+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,197701.55678236,2104.35280109746
9253,R-4,BOZEMAN,2024/08/21 18:54:53+00,BOZEMAN,2024/12/18 23:25:38+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,128285.48581796,1930.38025378613
9255,PLI,BOZEMAN,2024/09/06 00:32:48+00,BOZEMAN,2024/12/18 23:13:01+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.130PULAINDINT,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,6366.62303282,408.810903061314
9257,B-2M,BOZEMAN,2024/09/06 00:32:48+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,6977.276776055,384.041287792071
9259,BP,BOZEMAN,2024/09/20 17:36:37+00,BOZEMAN,2024/09/20 17:36:37+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,27692.534724465,698.178101202832
9261,BP,BOZEMAN,2024/09/20 17:36:37+00,BOZEMAN,2024/09/20 20:11:44+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,109092.19795031,1451.98693559231
9267,B-2M,BOZEMAN,2024/10/28 22:05:36+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,1607.3782587,167.495268291538
9268,REMU,BOZEMAN,2024/12/11 16:23:29+00,BOZEMAN,2024/12/18 23:39:48+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,10439.7095763,420.702416006118
