nominaldiameter,facilityid,capacity_notes,life,rehab_project,capacity,feet_len,material,design_link,name,comment,install_date,sliplined,maintenance,objectid,rehab_year
6,G0411_G0422,"6"" or smaller main",Active,,Greater than 75 pct obligated,400.15935274,VCP,,SID 262,,1927,,City of Bozeman,2349,
8,G0513_G0514,,Active,,Less than 50 pct obligated,216.3545685,VCP,,SID 287,,1933,,City of Bozeman,2350,
8,G0512_G0513,,Active,,Less than 50 pct obligated,363.20610484,VCP,,SID 287,Split flow,1933,,City of Bozeman,2351,
8,G0506_G0512,,Active,,Less than 50 pct obligated,357.9147301,VCP,,SID 339,Split flow,1946,,City of Bozeman,2352,
8,G0504_G0505,,Active,,Less than 50 pct obligated,358.10279298,VCP,,SID 339,,1946,,City of Bozeman,2353,
8,G0598_G0512,,Active,,Less than 50 pct obligated,364.31835601,AC,,WPCA 125,,1969,,,2354,
8,G0538_G0530,,Active,,Less than 50 pct obligated,157.42755533,VCP,,1917,,1917,,City of Bozeman,2355,
12,G0519_G0520,,Active,,Less than 50 pct obligated,361.75528672,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2356,
12,G0518_G0519,,Active,,Less than 50 pct obligated,358.11107803,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2357,
12,G0517_G0518,,Active,,Less than 50 pct obligated,362.26424823,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2358,
12,G0516_G0517,,Active,,Less than 50 pct obligated,356.92052602,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2359,
12,G0515_G0516,,Active,,Less than 50 pct obligated,358.55981751,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2360,
12,G0649_G0515,,Active,,Less than 50 pct obligated,455.13749693,VCP,,Tenth Ave Sanitary Sewer,,1954,,City of Bozeman,2361,
10,G0530_G0584,,Active,,Less than 50 pct obligated,164.00792123,VCP,,1917,,1917,,City of Bozeman,2362,
6,G0537_G0538,"6"" or smaller main",Active,,Greater than 75 pct obligated,219.03939017,VCP,,SID 179,,1919,,City of Bozeman,2363,
6,G0536_G0537,"6"" or smaller main",Active,,Greater than 75 pct obligated,357.70371348,VCP,,SID 179,,1919,,City of Bozeman,2364,
6,G0535_G0536,"6"" or smaller main",Active,,Greater than 75 pct obligated,359.1312846,VCP,,SID 179,,1919,,City of Bozeman,2365,
6,G0534_G0535,"6"" or smaller main",Active,,Greater than 75 pct obligated,358.99894296,VCP,,SID 176,Split flow,UNK,,City of Bozeman,2366,
6,G0533_G0534,"6"" or smaller main",Active,,Greater than 75 pct obligated,359.54838317,VCP,,SID 89,,1915,,City of Bozeman,2367,
6,G0532_G0533,"6"" or smaller main",Abandoned,,Greater than 75 pct obligated,359.18163013,VCP,,SID 89,,1915,,City of Bozeman,2368,
6,G0531_G0532,"6"" or smaller main",Active,,Greater than 75 pct obligated,416.08500611,VCP,,SID 89,,1915,,City of Bozeman,2369,
6,G0545_G0547,"6"" or smaller main",Active,,Greater than 75 pct obligated,174.01998043,VCP,,SID 84,,1915,,City of Bozeman,2370,
6,G0544_G0545,"6"" or smaller main",Active,,Greater than 75 pct obligated,184.0307273,VCP,,SID 84,,1915,,City of Bozeman,2371,
6,G0543_G0544,"6"" or smaller main",Active,,Greater than 75 pct obligated,361.28836173,VCP,,SID 84,,1915,,City of Bozeman,2372,
6,G0542_G0543,"6"" or smaller main",Active,,Greater than 75 pct obligated,413.8400334,VCP,,SID 84,,1915,,City of Bozeman,2373,
6,G0551_G0551A,"6"" or smaller main",Active,,Greater than 75 pct obligated,368.87479406,VCP,,SID 166,,1918,,City of Bozeman,2374,
18,G0579_G0580,,Active,,Less than 50 pct obligated,344.97310255,AC,,WPCA 125,,1969,,City of Bozeman,2375,
6,G0559_G0560,"6"" or smaller main",Active,,Greater than 75 pct obligated,352.9130455,PVC,,1997 Sewer Rehab,Sliplined,1997,YES,City of Bozeman,2376,
6,G0546_G0547,"6"" or smaller main",Active,,Greater than 75 pct obligated,368.60924858,VCP,,SID 89,,1915,,City of Bozeman,2377,
6,G0587_G0588,"6"" or smaller main",Active,,Greater than 75 pct obligated,366.79969485,VCP,,1903,,1903,,City of Bozeman,2378,
18,G0576_G0577,,Active,,Less than 50 pct obligated,349.670017,AC,,WPCA 125,Split flow,1969,,City of Bozeman,2379,
6,G0564_G0565,"6"" or smaller main",Active,,Greater than 75 pct obligated,385.82535042,VCP,,SID 156,,1918,,City of Bozeman,2380,
6,G0563_G0564,"6"" or smaller main",Active,,Greater than 75 pct obligated,205.13411519,VCP,,SID 156,,1918,,City of Bozeman,2381,
6,G0656_G0542,"6"" or smaller main",Active,,Greater than 75 pct obligated,390.43959219,VCP,,SID 221,,1921,,City of Bozeman,2382,
6,G0653_G0539,"6"" or smaller main",Active,,Greater than 75 pct obligated,388.97935698,VCP,,SID 123,,1916,,City of Bozeman,2383,
8,G0552_G0538,,Active,,Less than 50 pct obligated,366.72529458,PVC,,1917,,1917,,City of Bozeman,2384,
8,G0554_G0552,,Active,,Less than 50 pct obligated,166.3516816,PVC,,,Sliplined,UNK,YES,City of Bozeman,2385,
6,G0541_G0545,"6"" or smaller main",Active,,Greater than 75 pct obligated,164.24059796,VCP,,SID 123,,1916,,City of Bozeman,2386,
6,G0540A_G0541,"6"" or smaller main",Active,,Greater than 75 pct obligated,187.11731126,VCP,,SID 123,,1916,,City of Bozeman,2387,
8,G0510_G0598,,Active,,Less than 50 pct obligated,185.08287152,AC,,WPCA 125,,1969,,,2388,
8,G0509_G0510,,Active,,Less than 50 pct obligated,396.69307503,PVC,,WPCA 125,,1969,,,2389,
8,G0508_G0509,,Active,,Less than 50 pct obligated,399.236857,AC,,WPCA 125,,1969,,,2390,
18,G0580_G0581,,Active,,Less than 50 pct obligated,374.6748337,AC,,WPCA 125,,1969,,City of Bozeman,2391,
6,G0560_G0561A,"6"" or smaller main",Active,,Greater than 75 pct obligated,246.72482763,PVC,,1999 Sewer Rehab,Sliplined,1999,YES,City of Bozeman,2392,
8,G0505_G0506,,Active,,Less than 50 pct obligated,377.73422455,VCP,,SID 339,,1946,,City of Bozeman,2393,
8,H0310_H0309,,Active,,Less than 50 pct obligated,364.70743659,VCP,,SID 432,,1963,,City of Bozeman,2394,
15,H0303_H0304,,Active,,50 to 75 pct obligated,148.68342377,PVC,,SID 432,,1963,,City of Bozeman,2395,
15,H0302_H0303,,Active,,50 to 75 pct obligated,299.45702595,PVC,,SID 432,,1963,,City of Bozeman,2396,
8,I0423_I0424,,Active,,Less than 50 pct obligated,410.67321866,PVC,,SID 576,,1977,,City of Bozeman,2397,
8,I0422_I0423,,Active,,Less than 50 pct obligated,399.64693884,PVC,,SID 576,,1977,,City of Bozeman,2398,
8,H0405_H0406,,Active,,Less than 50 pct obligated,327.22125791,VCP,,SID 439,,1964,,City of Bozeman,2399,
8,H0408_H0303,,Active,,50 to 75 pct obligated,332.58804516,VCP,,SID 439,,1964,,City of Bozeman,2400,
8,H0412_H0305,,Active,,Less than 50 pct obligated,371.92301725,VCP,,SID 473,,1966,,City of Bozeman,2401,
8,H0411_H0412,,Active,,Less than 50 pct obligated,299.8989611,VCP,,SID 473,,1966,,City of Bozeman,2402,
8,H0410_H0411,,Active,,Less than 50 pct obligated,300.21113732,VCP,,SID 473,,1966,,City of Bozeman,2403,
8,H0409_H0410,,Active,,Less than 50 pct obligated,331.41576465,VCP,,SID 473,,1966,,City of Bozeman,2404,
8,H0415_H0416,,Active,,Less than 50 pct obligated,300.02580147,VCP,,SID 471,,1966,,City of Bozeman,2405,
12,H0434_H0308,,Active,,Less than 50 pct obligated,441.54359465,VCP,,SID 432,,1963,,City of Bozeman,2406,
12,H0433_H0434,,Active,,Less than 50 pct obligated,440.62006745,VCP,,SID 432,,1963,,City of Bozeman,2407,
12,H0432_H0433,,Active,,Less than 50 pct obligated,474.83497992,VCP,,SID 432,,1963,,City of Bozeman,2408,
12,H0431_H0443,,Active,,Less than 50 pct obligated,310.34113849,VCP,,SID 432,,1963,,City of Bozeman,2409,
12,H0430_H0431,,Active,,Less than 50 pct obligated,328.58478268,VCP,,SID 432,,1963,,City of Bozeman,2410,
12,H0429_H0430,,Active,,Less than 50 pct obligated,373.90420262,VCP,,SID 432,,1963,,City of Bozeman,2411,
12,H0424_H0429,,Active,,Less than 50 pct obligated,272.21370664,VCP,,SID 432,,1963,,City of Bozeman,2412,
8,H0427_H0428,,Active,,Less than 50 pct obligated,229.58952324,VCP,,West Main Sewer,,1994,,City of Bozeman,2413,
8,H0426_H0427,,Active,,Less than 50 pct obligated,112.26222736,VCP,,West Main Sewer,,1994,,City of Bozeman,2414,
8,H0425_H0426,,Active,,Less than 50 pct obligated,250.68629313,VCP,,West Main Sewer,,1994,,City of Bozeman,2415,
8,H0442_H0443,,Active,,Less than 50 pct obligated,328.02270172,PVC,,Buttrey's Sewer Replacement,,2000,,City of Bozeman,2416,
8,H0441_H0442,,Active,,Less than 50 pct obligated,249.03710049,PVC,,Buttrey's Sewer Replacement,,2000,,City of Bozeman,2417,
8,H0440_H0441,,Active,,Less than 50 pct obligated,154.81072722,PVC,,Buttrey's Sewer Replacement,,2000,,City of Bozeman,2418,
8,H0417_H0418,,Active,,Less than 50 pct obligated,222.23060992,PVC,,Buttrey's Sewer Replacement,,2000,,City of Bozeman,2419,
8,H0422_H0424,,Active,,Less than 50 pct obligated,395.6402441,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2420,
8,H0528_H0422,,Active,,Less than 50 pct obligated,153.53916559,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2421,
8,H0421_H0528,,Active,,Less than 50 pct obligated,247.37031975,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2422,
8,H0420_H0421,,Active,,Less than 50 pct obligated,399.04991731,VCP,,SID 432,Split flow. Sliplined,1963,YES,City of Bozeman,2423,
12,H0580_H0423,,Active,,Less than 50 pct obligated,197.84416129,VCP,,SID 432,,1963,,City of Bozeman,2424,
10,H0576_H0580,,Active,,Less than 50 pct obligated,226.40895499,VCP,,SID 432,,1963,,City of Bozeman,2425,
10,H0546_H0576,,Active,,Less than 50 pct obligated,315.4358661,VCP,,SID 432,,1963,,City of Bozeman,2426,
10,H0543_H0546,,Active,,Less than 50 pct obligated,414.40785833,VCP,,SID 432,,1963,,City of Bozeman,2427,
10,H0542_H0543,,Active,,Less than 50 pct obligated,213.88274233,VCP,,SID 432,,1963,,City of Bozeman,2428,
8,H0541_H0542,,Active,,Less than 50 pct obligated,394.32130805,VCP,,SID 583,,1977,,City of Bozeman,2429,
8,H0540_H0541,,Active,,Less than 50 pct obligated,392.07920908,VCP,,SID 583,,1977,,City of Bozeman,2430,
8,H0539_H0540,,Active,,Less than 50 pct obligated,395.92485895,VCP,,SID 583,,1977,,City of Bozeman,2431,
8,H0579_H0580,,Active,,Less than 50 pct obligated,322.05816356,VCP,,SID 483,Sliplined,1967,YES,City of Bozeman,2432,
10,H0574_H0575,,Active,,Less than 50 pct obligated,400.11864502,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2433,
10,H0573_H0574,,Active,,Less than 50 pct obligated,387.8234948,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2434,
8,H0572_H0573,,Active,,Less than 50 pct obligated,361.89856236,VCP,,SID 432,Split flow. Sliplined,1963,YES,City of Bozeman,2435,
8,H0550_H0551,,Active,,Less than 50 pct obligated,355.71963168,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2436,
8,H0549_H0550,,Active,,Less than 50 pct obligated,360.38331744,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2437,
8,H0548_H0549,,Active,,Less than 50 pct obligated,356.65390049,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2438,
8,H0570_H0571,,Active,,Less than 50 pct obligated,358.53869867,VCP,,SID 338,Sliplined,1945,YES,City of Bozeman,2439,
8,H0563_H0564,,Active,,Less than 50 pct obligated,360.00886158,VCP,,SID 338,Sliplined,1945,YES,City of Bozeman,2440,
